id,title,description,tile,start,end,time_diff_days,notification_type
a16aa244-247f-44ac-93e6-671a5ba96a75,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Daily Squares, Salesperson Performance, Sales & GP, Daily Vinyl Siding. The current ETA is Noon, Central Time. We will update with a new notification upon resolution.",dda834b4-d8c9-4d7f-b9cd-5c7985e79829,2023-08-29 06:31:22,2023-08-29 13:31:24,0.2916962962962963,minor
a16aa244-247f-44ac-93e6-671a5ba96a75,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Daily Squares, Salesperson Performance, Sales & GP, Daily Vinyl Siding. The current ETA is Noon, Central Time. We will update with a new notification upon resolution.",e3eef460-7250-4f43-a624-858066d2c8c3,2023-08-29 06:31:22,2023-08-29 13:31:24,0.2916962962962963,minor
95feb85b-c81f-4b92-8a6e-a6584c5895c4,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,374921ac-0601-4f03-be6b-bb700c116f35,2023-09-01 08:49:00,2023-09-01 11:49:00,0.125,minor
95feb85b-c81f-4b92-8a6e-a6584c5895c4,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,01796ba1-a152-4401-8342-4205f9c6bc7c,2023-09-01 08:49:00,2023-09-01 11:49:00,0.125,minor
95feb85b-c81f-4b92-8a6e-a6584c5895c4,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,72bd2290-59ce-4c19-b562-14ed28e3a210,2023-09-01 08:49:00,2023-09-01 11:49:00,0.125,minor
95feb85b-c81f-4b92-8a6e-a6584c5895c4,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,ee323936-56e9-4868-bfb1-5e87f18105e5,2023-09-01 08:49:00,2023-09-01 11:49:00,0.125,minor
95feb85b-c81f-4b92-8a6e-a6584c5895c4,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,dda834b4-d8c9-4d7f-b9cd-5c7985e79829,2023-09-01 08:49:00,2023-09-01 11:49:00,0.125,minor
95feb85b-c81f-4b92-8a6e-a6584c5895c4,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,e3eef460-7250-4f43-a624-858066d2c8c3,2023-09-01 08:49:00,2023-09-01 11:49:00,0.125,minor
95feb85b-c81f-4b92-8a6e-a6584c5895c4,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports (RESOLVED),RESOLVED: All dashboards have been refreshed successfully,f5c33ee7-0255-427b-9ef6-f5c0e13c38c8,2023-09-01 08:49:00,2023-09-01 11:49:00,0.125,minor
81e4b23e-f5b9-4d6e-9f9a-840a7d6a6fb4,    ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,RESOLVED,374921ac-0601-4f03-be6b-bb700c116f35,2023-09-06 07:34:16,2023-09-06 09:00:16,0.05972222222222222,minor
81e4b23e-f5b9-4d6e-9f9a-840a7d6a6fb4,    ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,RESOLVED,01796ba1-a152-4401-8342-4205f9c6bc7c,2023-09-06 07:34:16,2023-09-06 09:00:16,0.05972222222222222,minor
81e4b23e-f5b9-4d6e-9f9a-840a7d6a6fb4,    ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,RESOLVED,dda834b4-d8c9-4d7f-b9cd-5c7985e79829,2023-09-06 07:34:16,2023-09-06 09:00:16,0.05972222222222222,minor
