Start Timestamp,Subject Area Name,Source Path,Dashboard Name,Dashboard Page,Error Text,User Name,title,Error Category,Stakeholder Classification,Parsed Dashboard Name
2024-09-19 12:00:23.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog Branch Receipts -w\/ item,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues, item
2024-09-19 12:00:40.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog Branch Receipts -w\/ item,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues, item
2024-09-19 12:00:41.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog - Receipts,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues,Catalog - Receipts
2024-09-19 12:00:50.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog Branch Receipts -w\/ item,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues, item
2024-09-19 12:00:58.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog - Receipts,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues,Catalog - Receipts
2024-09-19 14:52:23.000,Enterprise Data - Purchase Orders Dataset,/shared/Accounting Analytics/Rebate Reports/Reconciliation Reports/GAF NATIONAL,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,JH203274,NSC Staff Accountant,Data Type & Value Errors,Data Issues,GAF NATIONAL
2024-09-19 14:53:11.000,Enterprise Data - Purchase Orders Dataset,/shared/Accounting Analytics/Rebate Reports/Reconciliation Reports/GAF NATIONAL,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,JH203274,NSC Staff Accountant,Data Type & Value Errors,Data Issues,GAF NATIONAL
2024-09-19 14:53:41.000,Enterprise Data - Purchase Orders Dataset,/shared/Accounting Analytics/Rebate Reports/Reconciliation Reports/GAF NATIONAL,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DONOTUSE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs w,JH203274,NSC Staff Accountant,Data Type & Value Errors,Data Issues,GAF NATIONAL
2024-09-19 17:43:08.000,Enterprise Data - Inventory Balances Dataset (Prior & Current Year),/users/aw086646/Inventory Inflation Adjustment Report/Inventory Inflation Adjustment Report,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Date '' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs while calling remo,KH087850,NSC IT Lead BI Engineer,Service & Connectivity Errors,Critical System Failures,Inventory Inflation Adjustment Report
2024-09-20 12:00:10.000,Enterprise Data - Receipts Dataset,/shared/Accounting Analytics/General Accounting Reports/Catalog Reports/Catalog - Receipts,Untitled Dashboard,No Page,[nQSError: 77031] Error occurs while calling remote service DatasourceService. Details:  [JDSError : 115] Database Error - Cause: Numeric value 'DE' is not recognized Action: Please refer to logs for more Details[nQSError: 77031] Error occurs while c,DW077771,General Accounting Process Manager,Data Type & Value Errors,Data Issues,Catalog - Receipts
